Run No 	 Compute Time (ms) 	 Avg Compute Time (ms) 	 tConvolveRGB 	 treluq7_1 	 tmaxpool_1 	 tconvolveQ7Fast_1 	 treluq7_2 	 tmaxpool_2 	 tconvolveQ7Fast_2 	 treluq7_3 	 tmaxpool_3 	 tfullconnect 	 tsoftmax
130 	 3.968000 	 4.039138 	 2.586000 	 0.098000 	 0.174000 	 0.810000 	 0.012000 	 0.021000 	 0.249000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
131 	 3.893000 	 4.038023 	 2.541000 	 0.103000 	 0.171000 	 0.788000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
132 	 4.107000 	 4.038545 	 2.602000 	 0.106000 	 0.199000 	 0.884000 	 0.022000 	 0.022000 	 0.245000 	 0.003000 	 0.011000 	 0.008000 	 0.000000
133 	 4.002000 	 4.038271 	 2.597000 	 0.097000 	 0.173000 	 0.790000 	 0.012000 	 0.021000 	 0.279000 	 0.003000 	 0.021000 	 0.002000 	 0.001000
134 	 3.894000 	 4.037194 	 2.544000 	 0.101000 	 0.173000 	 0.787000 	 0.012000 	 0.022000 	 0.237000 	 0.004000 	 0.010000 	 0.002000 	 0.001000
135 	 3.890000 	 4.036104 	 2.543000 	 0.097000 	 0.173000 	 0.788000 	 0.013000 	 0.021000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
136 	 3.886000 	 4.035000 	 2.541000 	 0.097000 	 0.173000 	 0.788000 	 0.012000 	 0.022000 	 0.236000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
137 	 3.931000 	 4.034241 	 2.544000 	 0.098000 	 0.170000 	 0.787000 	 0.012000 	 0.021000 	 0.253000 	 0.003000 	 0.024000 	 0.015000 	 0.001000
138 	 4.093000 	 4.034667 	 2.695000 	 0.099000 	 0.173000 	 0.826000 	 0.012000 	 0.021000 	 0.248000 	 0.004000 	 0.010000 	 0.002000 	 0.000000
139 	 4.665000 	 4.039201 	 3.319000 	 0.099000 	 0.171000 	 0.786000 	 0.013000 	 0.021000 	 0.236000 	 0.003000 	 0.010000 	 0.004000 	 0.000000
140 	 4.156000 	 4.040036 	 2.554000 	 0.099000 	 0.173000 	 1.024000 	 0.013000 	 0.029000 	 0.241000 	 0.003000 	 0.011000 	 0.007000 	 0.000000
141 	 4.229000 	 4.041376 	 2.867000 	 0.099000 	 0.173000 	 0.798000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.001000
142 	 3.919000 	 4.040514 	 2.569000 	 0.099000 	 0.172000 	 0.788000 	 0.012000 	 0.021000 	 0.240000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
